week_label,week_end_date,close_price
2021-W37,2021-09-17,47522.00000000
2021-W38,2021-09-24,42425.00000000
2021-W39,2021-10-01,48047.00000000
2021-W40,2021-10-08,54693.00000000
2021-W41,2021-10-15,61448.00000000
2021-W42,2021-10-22,60994.00000000
2021-W43,2021-10-29,62629.00000000
2021-W44,2021-11-05,60953.00000000
2021-W45,2021-11-12,64156.00000000
2021-W46,2021-11-19,57847.00000000
2021-W47,2021-11-26,54526.00000000
2021-W48,2021-12-03,53482.00000000
2021-W49,2021-12-10,48389.00000000
2021-W50,2021-12-17,46157.00000000
2021-W51,2021-12-24,51156.00000000
2021-W52,2021-12-31,45933.00000000
2022-W01,2022-01-07,41916.00000000
2022-W02,2022-01-14,43129.00000000
2022-W03,2022-01-21,38441.00000000
2022-W04,2022-01-28,37780.00000000
2022-W05,2022-02-04,40575.00000000
2022-W06,2022-02-11,42353.00000000
2022-W07,2022-02-18,40067.00000000
2022-W08,2022-02-25,39156.00000000
2022-W09,2022-03-04,39502.00000000
2022-W10,2022-03-11,38401.00000000
2022-W11,2022-03-18,41755.00000000
2022-W12,2022-03-25,44543.00000000
2022-W13,2022-04-01,46356.00000000
2022-W14,2022-04-08,42741.00000000
2022-W15,2022-04-14,39973.00000000
2022-W16,2022-04-22,39516.00000000
2022-W17,2022-04-29,38322.00000000
2022-W18,2022-05-06,36000.00000000
2022-W19,2022-05-13,30041.00000000
2022-W20,2022-05-20,29277.40000000
2022-W21,2022-05-27,28819.60000000
2022-W22,2022-06-03,29531.90000000
2022-W23,2022-06-10,28945.40000000
2022-W24,2022-06-17,20512.60000000
2022-W25,2022-06-24,21230.90000000
2022-W26,2022-07-01,19380.00000000
2022-W27,2022-07-08,21811.10000000
2022-W28,2022-07-15,21122.40000000
2022-W29,2022-07-22,22586.80000000
2022-W30,2022-07-29,23908.80000000
2022-W31,2022-08-05,22917.80000000
2022-W32,2022-08-12,24166.20000000
2022-W33,2022-08-19,21353.10000000
2022-W34,2022-08-26,20658.00000000
2022-W35,2022-09-02,19907.70000000
2022-W36,2022-09-09,21270.10000000
2022-W37,2022-09-16,19623.00000000
2022-W38,2022-09-23,18820.10000000
2022-W39,2022-09-30,19473.30000000
2022-W40,2022-10-07,19464.40000000
2022-W41,2022-10-14,19187.80000000
2022-W42,2022-10-21,19205.70000000
2022-W43,2022-10-28,20623.60000000
2022-W44,2022-11-04,21129.10000000
2022-W45,2022-11-11,16679.00000000
2022-W46,2022-11-18,16613.00000000
2022-W47,2022-11-25,16520.20000000
2022-W48,2022-12-02,17024.40000000
2022-W49,2022-12-09,17096.60000000
2022-W50,2022-12-16,16889.20000000
2022-W51,2022-12-23,16812.00000000
2022-W52,2022-12-30,16590.70000000
2023-W01,2023-01-06,16905.90000000
2023-W02,2023-01-13,19458.60000000
2023-W03,2023-01-20,22267.20000000
2023-W04,2023-01-27,23131.00000000
2023-W05,2023-02-03,23341.40000000
2023-W06,2023-02-10,21715.20000000
2023-W07,2023-02-17,24806.00000000
2023-W08,2023-02-24,23191.90000000
2023-W09,2023-03-03,22286.40000000
2023-W10,2023-03-10,19976.90000000
2023-W11,2023-03-17,26838.00000000
2023-W12,2023-03-24,27610.10000000
2023-W13,2023-03-31,28441.60000000
2023-W14,2023-04-06,27998.90000000
2023-W15,2023-04-14,30315.80000000
2023-W16,2023-04-21,27258.30000000
2023-W17,2023-04-28,29351.30000000
2023-W18,2023-05-05,29557.80000000
2023-W19,2023-05-12,26442.50000000
2023-W20,2023-05-19,26839.00000000
2023-W21,2023-05-26,26785.30000000
2023-W22,2023-06-02,27252.50000000
2023-W23,2023-06-09,26410.50000000
2023-W24,2023-06-16,26378.60000000
2023-W25,2023-06-23,30901.80000000
2023-W26,2023-06-30,30377.20000000
2023-W27,2023-07-07,30224.40000000
2023-W28,2023-07-14,30132.80000000
